Título,Autor,Resumen,Etiquetas,Advertencias,Enlace
La estrella más brillante entre las constelaciones,WanderedWriter,"Donde un joven Regulus Black vive y es un padre soltero adolescente de dieciocho años que está criando de una niña solo y está aprendiendo a vivir en el mundo muggle sin magia, mientras trata de ignorar todos sus miedos, sus arrepentimientos y el hecho de que ha traicionado a su familia y a Voldemort.No fue fácil, pero lo intentó.Fue lento y difícil, le sacó lagrimas y sustos, pero continuó a pesar de todo. Él no era una persona valiente (no al nivel de Sirius), pero esta vez decidió hacerlo. Fue más valiente que nunca y siguió adelante. Siempre siguió adelante, incluso cuando las cosas comenzaron a ponerse difíciles una vez que su pequeña Hermione comenzó en Hogwarts y se hizo amiga del adorable hijo de James maldito Potter..O donde Hermione crece con un padre que esconde más secretos que libros en su biblioteca y comienza a aprender durante su vida escolar en Hogwarts que el mundo mágico no es tan increíble como parece. Sin embargo, su papá estuvo allí para amarla, protegerla y consolarla cada vez. Especialmente cuando ella demostró tener el mismo nivel de autoconservación que su tío Sirius (Regulus no estaba contento con eso).","General Audiences, Graphic Depictions Of Violence, Major Character Death, Underage Sex, F/F, F/M, M/M, Harry Potter - J. K. Rowling, Regulus Black & Hermione Granger, Regulus Black & Hermione Granger & Harry Potter & Ron Weasley, Regulus Black & Sirius Black, Regulus Black & Kreacher, Regulus Black & Black Family, Regulus Black & Severus Snape, Regulus Black & Barty Crouch Jr. & Rabastan Lestrange & Evan Rosier, Hermione Granger & Harry Potter & Ron Weasley, Regulus Black & Granger Family, Hermione Granger & Blaise Zabini, Hermione Granger, Regulus Black, Harry Potter, Ron Weasley, Weasley Family (Harry Potter), Luna Lovegood, Barty Crouch Jr., Evan Rosier, Albus Dumbledore, Aberforth Dumbledore, Tom Riddle | Voldemort, Narcissa Black Malfoy, Black Family (Harry Potter), Draco Malfoy, Neville Longbottom, Sirius Black, Remus Lupin, Blaise Zabini, Blaise Zabini's Mother, Regulus is Hermione Granger's father., Regulus Black Lives, Regulus Black-centric, Hermione Granger-centric, Bisexual Regulus Black, BAMF Regulus Black, Dark Hermione Granger, Regulus is a teenage father, Regulus is learning to be a father while living in the Muggle world, Regulus is Mr Granger, Hermione Granger is a Member of the House of Black, Regulus Black Needs a Hug, Regulus Black Needs Therapy, Regulus Lives, Regulus is raising a child and adopting others., Regulus Adopts Harry, mentions of jegulus, Regulus is brave and faces everyone, Sirius Black Lives, Post-Sirius Black in Azkaban",Advertencias no encontradas,https://archiveofourown.org/works/50183191
How To Keep Your Idiot Son Alive,whoopsiesnodaisies,"Regulus and Lily are professors at Hogwarts, which was a much easier job before their son, Harry, who just happens to be the 'chosen one' enters school. Harry seems to be a magnet for trouble, and even worse, he seems to lack caution and common sense.Lily and Regulus (with the occasional help from James) have to keep their idiotic teenage son alive, while trying to give him a normal childhood.","General Audiences, No Archive Warnings Apply, F/M, M/M, Multi, Harry Potter - J. K. Rowling, Regulus Black/James Potter/Lily Evans Potter, Regulus Black/Lily Evans Potter, James Potter/Lily Evans Potter, Regulus Black/James Potter, Lily Evans Potter, Regulus Black, Harry Potter, James Potter, Remus Lupin, Sirius Black, Draco Malfoy, Ron Weasley, Hermione Granger, Neville Longbottom, Minerva McGonagall, Severus Snape, Professor AU, Jegulily, Happy Ending, Cutesy, Tooth Rotting Fluff, Fluff, NO DEATH, Lily Evans Potter Lives, James Potter Lives, Regulus Black Lives, Good Parent Lily Evans Potter, Good Parent James Potter, Good Parent Regulus Black, Harry Potter is a Little Shit, Harry Potter is a Horcrux, Family Fluff, Professor Lily Evans Potter, Professor Regulus Black, Quidditch Player James Potter, Gryffindor Harry Potter, Dialogue Heavy",Advertencias no encontradas,https://archiveofourown.org/works/52807660
My Own Private Blackpool,LadyVisenya,"Regulus Black has been living a quiet existence since surviving the cave in the last place anyone would think to find him: a small muggle town by Blackpool. That is, until Jane, the village muggleborn witch, befriends him.","General Audiences, No Archive Warnings Apply, F/M, Gen, Harry Potter - J. K. Rowling, Regulus Black & Kreacher, Regulus Black & Sirius Black, Regulus Black/Original Female Character(s), Regulus Black, Albus Dumbledore, Harry Potter, Bartemius Crouch Jr., Sirius Black, Kreacher - Character, Penelope Clearwater, Nymphadora Tonks, Remus Lupin, Older Man/Younger Woman, Slow Burn, Regulus Black Lives, Post-Traumatic Stress Disorder - PTSD, regulus blacks slow recovery, Horcrux Hunting, goes au after harry's third year, Mutual Pining, Good Regulus Black, Mental Health Issues",Advertencias no encontradas,https://archiveofourown.org/works/24741685
"Life, Death, and the Breaking Dawn",sweetcatcandy,"After Beau Swan and Edythe Cullen marry, ""Happily Ever After"" hangs in the balance when dangerous forces are set against them after one unforgettable night and a most impossible conclusion. When long-held secrets of the Volturi come to light, will a new acquaintance be an ally or an adversary? Can Beau and Edythe find a way to save the ones they love before time runs out?","Not Rated, Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Life and Death - Stephenie Meyer, Edythe Cullen/Beau Swan, Beau Swan, Edythe Cullen, Jules Black, Archie Cullen, Carine Cullen, Earnest Cullen, Jessamine Hale, Royal Hale, Eleanor Cullen, Charlie Swan, Renée Dwyer, Leland ""Lee"" Clearwater, Sarah Clearwater, Denali Coven (Life and Death), Sulpicia (Twilight/Life and Death), Athenodora (Twilight/Life and Death), Marcus (Twilight/Life and Death), Alternate Universe - Canon Divergence, Canon Divergence - Breaking Dawn (Twilight), Breaking Dawn, Reimagined, Human/Vampire Relationship, Soulmates, Weddings, Honeymoon, Fluff, Fluff and Angst, vampire pregnancy, Edythe Cullen Pregnant, I don't make the rules I just break 'em, Hybrids, Volturi Conspiracy Theories, Chearnest, Chearnest is a terrible name, Marriage, Supportive Spouses, Drama, Supernatural romance",Advertencias no encontradas,https://archiveofourown.org/works/39128028
renascentia: from the ashes,kuchikopi,"In the summer of 1979, Regulus Black vanished from British wizarding society with horcrux in hand, ducking his head down into the obscurity of a French village to complete his task of destroying Slytherin’s locket - and with it, a fragment of the Dark Lord’s soul. When the risen Voldemort calls his followers once again, sixteen years later, Regulus makes haste to the home he left behind half a lifetime ago, reconnecting with his estranged brother and settling on a very different side of the conflict, with a very different set of allies. The Order of the Phoenix is reborn from the fog of the brewing Second War, tugging forth both old conflicts and new.","Teen And Up Audiences, Creator Chose Not To Use Archive Warnings, Gen, F/M, Harry Potter - J. K. Rowling, Regulus Black & Sirius Black, Regulus Black & Kreacher, Sirius Black & Remus Lupin, Regulus Black & Remus Lupin, Regulus Black & Hermione Granger, Regulus Black & Order of the Phoenix, Regulus Black & Emmeline Vance, Regulus Black/Bartemius Crouch Jr. (unresolved - past/referenced), Regulus Black & Harry Potter, Regulus Black & Black Family, Regulus Black/Emmeline Vance (pre-relationship), Sirius Black & Harry Potter, Regulus Black, Sirius Black, Remus Lupin, Albus Dumbledore, Minerva McGonagall, Severus Snape, Harry Potter, Emmeline Vance, Andromeda Black Tonks, Nymphadora Tonks, Kingsley Shacklebolt, Dedalus Diggle, Molly Weasley, Arthur Weasley, Ginny Weasley, Kreacher (Harry Potter), Hermione Granger, Ron Weasley, Fred Weasley, George Weasley, Draco Malfoy, Bellatrix Black Lestrange, Tom Riddle | Voldemort, Sturgis Podmore, Hestia Jones, Bill Weasley, Narcissa Black Malfoy, Original Magical Characters, Alternate Universe - Canon Divergence, OotP AU, Black family feels, Order of the Phoenix - Freeform, Death Eaters, There are so many Weasley children, Second War with Voldemort, It's Not Paranoia If They're Really Out To Get You, Regulus and Kreacher are Best Friends, Regulus and Barty WERE Best Friends :(, The Noble and Most Ancient House of Black, Fix-It, Regulus Black Lives, Horcruxes, Brotherly Love, Brotherly Angst, Slow Build, Fantastic Racism, Trauma, Emotional Baggage, Emotional Healing, POV Third Person, POV Sirius Black, POV Regulus Black, POV Remus Lupin (brief), POV Harry Potter (brief), POV Emmeline Vance (brief), Horcrux Hunting, Unreliable Narrator, Sirius Black's Terrible French, Regulus Black's Beautiful French, Asexual Character, Family Drama, Intellectual BAMF Regulus Black, Sirius Black is Man's Best Friend, Intellectual BAMF Emmeline Vance, POV Narcissa Black Malfoy (brief), POV Sturgis Podmore (brief), Drowning (referenced), Post-Traumatic Stress Disorder - PTSD (Mild), Minor Character Death, Slow Burn, Friends to Crushes, Meta in the Comments Section",Advertencias no encontradas,https://archiveofourown.org/works/11914698
renascentia: into the fire,kuchikopi,"As the wizarding world is forced to face the reality of Voldemort’s return, a new focus sharpens the efforts of the Order. Trust grows between Regulus and “the vigilantes,” granted to (and by) some members more freely than others. The shadowed chaos of the previous year billows to new heights of aggression, setting aflame the spread of an escalating war, but as the attacks grow more frequent, the quickened hunt for the horcruxes resumes with more pointed aims. Family, allegiance, and ideology are put to the test as conflicting sides yank and clash, push and pull, calling into question what it means to stand for one side or another - or what it means to try to stand somewhere in between.","Teen And Up Audiences, Creator Chose Not To Use Archive Warnings, F/M, Gen, Harry Potter - J. K. Rowling, Regulus Black/Emmeline Vance, Regulus Black & Sirius Black, Regulus Black & Narcissa Black Malfoy, Regulus Black & Harry Potter, Sirius Black & Harry Potter, Sirius Black & Andromeda Black Tonks, Regulus Black & Andromeda Black Tonks, Regulus Black & Bellatrix Black Lestrange, Regulus Black & Order of the Phoenix, Bellatrix Black Lestrange & Narcissa Black Malfoy & Andromeda Black Tonks, Regulus Black, Sirius Black, Narcissa Black Malfoy, Harry Potter, Bellatrix Black Lestrange, Albus Dumbledore, Ron Weasley, The Weasleys, Hermione Granger, Kreacher (Harry Potter), Emmeline Vance, Remus Lupin, Sturgis Podmore, Hestia Jones, Kingsley Shacklebolt, Nymphadora Tonks, Andromeda Black Tonks, Tom Riddle | Voldemort, Original Magical Characters, Dumbledore's Army (Harry Potter), Order of the Phoenix, Alastor Moody, Draco Malfoy, Ted Tonks, Alternate Universe - Canon Divergence, Sirius Black Lives, Regulus Black Lives, Humour, Drama, Pureblood Society, Death Eaters, Post-Traumatic Stress Disorder - PTSD, Depression, Anxiety, Slow Build, Fantastic Racism, Horcrux Hunting, The Noble and Most Ancient House of Black, Unreliable Narrator, Fix-It of Sorts, Family Feels, POV Regulus Black, POV Sirius Black, POV Emmeline Vance, POV Narcissa Black Malfoy, Friends to Lovers, POV Harry Potter, POV Bellatrix Black Lestrange, Meta in the Comments Section, POV Draco Malfoy, POV Andromeda Black Tonks, Non-Graphic Violence, Occasional Mild Drug References, Characters Deaths (Both Canon and Not)",Advertencias no encontradas,https://archiveofourown.org/works/14495823
Black Legacy: Fallen,AtticusMaximus,"Antares Black had it all. He was young, rich, deeply-in-love and had just defeated the Dark Lord Voldemort a few short months ago.  His entire world comes crashing down around him when he travels to the US for a business meeting and gets ambushed by a group of Vampires. Harry Potter/Twilight Crossover Fanfiction","General Audiences, Graphic Depictions Of Violence, F/M, Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Harry Potter - J. K. Rowling, Alice Cullen/Original Male Character(s), Carlisle Cullen/Esme Cullen, Emmett Cullen/Rosalie Hale, Original Male Character(s), Alice Cullen, Carlisle Cullen, Esme Cullen, Emmett Cullen, Rosalie Hale, Edward Cullen, Aro (Twilight), Caius (Twilight), Marcus (Twilight), Tanya (Twilight), Kate (Twilight), Victoria (Twilight), James (Twilight), Laurent (Twilight), Jane (Twilight), Alec (Twilight), Alistair (Twilight), The Volturi (Twilight), The Wolfpack (Twilight), Jacob Black, Garrett (Twilight), Carmen (Twilight), Eleazer (Twilight), twilight - Freeform, Volturi, Vampires, Harry Potter - Freeform, Antares Black, Romance, Sex, Smut, Lemon",Advertencias no encontradas,https://archiveofourown.org/works/14510718
Blur Into Stars,ivypos,"Regulus Black is dead. That is, until she catches glimpses of him in battle, wand aimed at Death Eaters, ruthless and more efficient than the Order has been in a long time. She wonders if his mask is a vow of vengeance.1980 onwards.","Explicit, Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, F/M, Harry Potter - J. K. Rowling, Regulus Black/Original Female Character(s), Regulus Black, Original Female Character(s), Sirius Black, James Potter, Lily Evans Potter, Alastor ""Mad-Eye"" Moody, Caradoc Dearborn, Remus Lupin, Pandora Lovegood, Regulus Black Lives, First Wizarding War with Voldemort (Harry Potter), Alternate Universe - Canon Divergence, Sybill Trelawney dies before making the prophecy, Angst, Hurt/Comfort, Blood and Violence, Order of the Phoenix (Harry Potter), BAMF Regulus Black, Slow Burn, Sexual Tension, Eventual Smut, Morally Grey Characters",Advertencias no encontradas,https://archiveofourown.org/works/49832839
Death and Un-Life,RoyalAbacus,"There are many things Beau Swan dislikes about his new life. The all consuming thirst for blood is one, the constant consciousness another. But the one thing he dislikes more than anything else is having to leave his father and younger sister Bella behind. Still, he’s made his peace with staying out of their lives if it will keep them safe from the monster he’s become, and resolved to never look back.Of course never isn’t as long for an immortal as one might expect, which he quickly learns after meeting the enigmatic Cullens and discovers one of them has taken more than a passing interest in his sister.","Teen And Up Audiences, Graphic Depictions Of Violence, Life and Death - Stephenie Meyer, Twilight Series - Stephenie Meyer, Edythe Cullen/Beau Swan, Edward Cullen/Bella Swan, Edythe Cullen, Edward Cullen, Beau Swan, Bella Swan, Angst, Genderbending, Vampire Beau Swan, Heavy Angst, Depression, Eventual Happy Ending, Eventual Romance",Advertencias no encontradas,https://archiveofourown.org/works/52230082
Death is an Art - I am an Artist,Narratiuncula,"On that fateful day, Regulus walked to his doom, fully expecting it. He did not expect to be reincarnated as Regulus di Angelo, Hades' son and older brother to Bianca and Nico.With the power of death at his fingertips, he might meet an even more horrible end than the one he experienced as Regulus Black. Nonetheless, to protect his siblings, Regulus would even fight Lady Magic herself.","Not Rated, Creator Chose Not To Use Archive Warnings, Harry Potter - J. K. Rowling, Percy Jackson and the Olympians - Rick Riordan, Percy Jackson and the Olympians & Related Fandoms - All Media Types, Maria di Angelo/Hades, Hades/Persephone (Percy Jackson), Maria di Angelo/Hades/Persephone, Maria di Angelo/Persephone, Regulus Black, Nico di Angelo, Bianca di Angelo, Maria di Angelo, Hades (Percy Jackson), Persephone (Percy Jackson), Original Characters, Percy Jackson, Annabeth Chase (Percy Jackson), Grover Underwood, Regulus Black Dies, Regulus Black Lives, Reincarnation, References to Ancient Greek Religion & Lore, Time Travel, Regulus Black-centric, Demigods, Powerful Regulus Black, Other Additional Tags to Be Added, Tags May Change, Protective Regulus Black, Necromancy, Good Parent Hades (Percy Jackson), Good Parent Persephone (Percy Jackson), Mentioned Death of the Endless, Powerful Nico di Angelo, Powerful Bianca di Angelo, Not Beta Read, Alternate Universe - Canon Divergence, Bianca di Angelo Lives, they deserve to be happy, Maria di Angelo Lives, Badass Maria di Angelo, I love her so she will live, Family Feels, Family Fluff",Advertencias no encontradas,https://archiveofourown.org/works/52231270
"December, 1983.",unspeakable3,"December, 1983.Voldemort has been defeated. Regulus has survived and is terribly, terribly in love.This is his happy ending.","Mature, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Regulus Black/Original Female Character(s), Regulus Black & Kreacher, Orion Black & Regulus Black, Regulus Black & Walburga Black, Arcturus Black III | Sirius Black's Grandfather & Regulus Black, Regulus Black & Sirius Black, Regulus Black & Narcissa Black Malfoy, Regulus Black & Evan Rosier, Regulus Black & Lucius Malfoy, Regulus Black & Andromeda Black Tonks, Regulus Black, Original Female Character(s), Kreacher (Harry Potter), Orion Black, Walburga Black, Arcturus Black III | Sirius Black's Grandfather, Sirius Black, Narcissa Black Malfoy, Evan Rosier, Lucius Malfoy, Andromeda Black Tonks, Regulus Black-centric, Regulus Black Lives, POV Regulus Black, Regulus Black Feels, Morally Grey Regulus Black, but he's trying to do better, The Noble and Most Ancient House of Black, Black Family-centric (Harry Potter), Dysfunctional Black Family (Harry Potter), Alternate Universe - Canon Divergence, Post-First Wizarding War with Voldemort (Harry Potter), Second War with Voldemort Doesn't Happen (Harry Potter), Established Relationship, Christmas, Christmas Fluff, and a smattering of angst, Black Family Tapestry (Harry Potter), Family Secrets, Nightmares, Marriage Proposal, Azkaban, Advent Challenge",Advertencias no encontradas,https://archiveofourown.org/works/43366423
Título no encontrado,Autor no encontrado,Resumen no encontrado,Etiquetas no encontradas,Advertencias no encontradas,https://archiveofourown.org/works/38526742
Distractions,UndeadIdiot,"Beau Swan was a vampire, tired, and beaten down by the constant problems and threats that he’s had to deal with in his short time as one. He decides that it would be best to take a page out of his angel’s book, and go and find distractions, to make friends, and to see the world.And maybe he can find one that will distract him from the ones that left him behind.","Teen And Up Audiences, No Archive Warnings Apply, F/M, Life and Death - Stephenie Meyer, Twilight Series - All Media Types, Edythe Cullen/Beau Swan, Jules Black/Beau Swan, Beau Swan/ Alex, Beau Swan & Charlie Swan, Beau Swan & Original Female Character(s), Carine Cullen/Earnest Cullen, Jessamine Hale & Beau Swan, Eleanor Cullen/Royal Hale, Archie Cullen & Beau Swan, Archie Cullen/Jessamine Hale, Beau Swan, Edythe Cullen, Archie Cullen, Jessamine Hale, Royal Hale, Carine Cullen, Earnest Cullen, Tanvir, The Denali Clan, Lauren (Life and Death), Original Characters",Advertencias no encontradas,https://archiveofourown.org/works/59407363
